Kad cemo napolje?|1|2|2025-04-02T15:19:17.249150800
Aj posle.|2|1|2025-04-02T15:19:17.249150800
Aj posle.|2|1|2025-04-02T15:20:02.546016400
Kad cemo napolje?|1|2|2025-04-02T15:20:02.546016400
Kad cemo napolje?|1|2|2025-04-02T15:22:45.155901100
Aj posle.|2|1|2025-04-02T15:22:45.155901100
Aj posle.|2|1|2025-04-02T15:24:47.658474700
Kad cemo napolje?|1|2|2025-04-02T15:24:47.658474700
Kad cemo napolje?|1|2|2025-04-02T15:31:47.394620
Aj posle.|2|1|2025-04-02T15:31:47.394620
Aj posle.|2|1|2025-04-02T15:34:08.699106200
Kad cemo napolje?|1|2|2025-04-02T15:34:08.699106200
Aj posle.|2|1|2025-04-02T15:35:57.528694300
Kad cemo napolje?|1|2|2025-04-02T15:35:57.528694300
Aj posle.|2|1|2025-04-02T15:37:06.739939800
Kad cemo napolje?|1|2|2025-04-02T15:37:06.739939800
Aj posle.|2|1|2025-04-02T15:38:42.000093600
Kad cemo napolje?|1|2|2025-04-02T15:38:42.000093600
Kad cemo napolje?|1|2|2025-04-02T15:42:51.337392500
Aj posle.|2|1|2025-04-02T15:42:51.337392500
Kad cemo napolje?|1|2|2025-04-02T15:43:33.944962200
Aj posle.|2|1|2025-04-02T15:43:33.944962200
Kad cemo napolje?|1|2|2025-04-02T15:44:59.705374600
Aj posle.|2|1|2025-04-02T15:44:59.704373800
Kad cemo napolje?|1|2|2025-04-02T15:45:33.519063400
Aj posle.|2|1|2025-04-02T15:45:33.519063400
Aj posle.|2|1|2025-04-02T15:48:06.921587300
Kad cemo napolje?|1|2|2025-04-02T15:48:06.921587300
Aj posle.|2|1|2025-04-02T15:48:32.408211600
Kad cemo napolje?|1|2|2025-04-02T15:48:32.408211600
Kad cemo napolje?|1|2|2025-04-02T16:01:15.062199100
Aj posle.|2|1|2025-04-02T16:01:15.062199100
